"Country","Happiness.Score","HDI","Population","Unemployment","GDP..2018.international...","Area..km.2.","Electricity.consumption.GW.h.yr.","Gini.Index","Index.of.Economic.Freedom","Median.wealth.per.adult..US.dollars.","Revenues..millions.USD.","Expenditures..millions.USD.","Surplus..or.deficit...millions.USD.","Real.GDP.growth.rate","average.Temperature.F","Education.Index","Natural.Disaster.Risk....","Environmental.Vulnerabilty.Index","CO2.Emissions.per.Capita..metric.tons.","Net.Exports.per.capita.USD","Life.Expectancy.at.Birth","X2019.mortality.rate..under.5..per.1000.live.births.","Overall.mean.BMI..kg.m2.","Democracy.Index","Incarceration.rate.per.100.000.population","Homicides.per.100.000","Ethnic.Fractionalization","Linguistic.Fractionalization","Religious.Fractionalization","Social.progress.index","Healthcare.Efficiency.Index","Marriages.per.1000","Divorces.per.1000","M.D.ratio","Gender.Equality.Index","Religiosity"
"Liberia",4.558,"0.48","4661010","2.7","7384259029","96320","348","35.3","49.2","820","626","728","-102","-2.5","77.54","0.423","0.0784","271","0.3","201","64.1","84.6","24","5.32","54","3.23","0.9084","0.9038","0.4883","51.37","0.2","N/A","N/A","N/A","0.693","0.94"
"Libya",5.489,"0.724","6959000","18.6","102665385322","1759540","25693","N/A","N/A","8330","16330","22320","-5990","-66.7","71.24","0.616","0.0379","256","8.7","2763","75.8","11.5","28.4","1.95","139","2.5","0.792","0.0758","0.057","N/A","0.683","10.8","2.5","4.32","N/A","N/A"
"Lithuania",6.215,"0.882","2790044","10.4","100384504447","62630","11306","37.4","76.9","22261","21180","21630","-450","-1.8","43.16","0.882","0.0292","314","5","10953","76","3.7","26.6","7.13","216","4.57","0.3223","0.3219","0.4141","83.97","0.722","7","3.1","2.26","0.804","0.42"
"Luxembourg",7.238,"0.916","626108","6.5","71000340500","2430","5817","33.8","76","139789","27600","27380","220","2.3","47.57","0.783","0.0243","327","16.9","N/A","82.4","2.8","26.5","8.68","83","0.3","0.5302","0.644","0.0911","89.56","0.928","3.1","2","1.55","0.726","0.39"
"Madagascar",4.166,"0.528","26923353","1.8","43363602948","581800","2117","42.6","57.7","626","1292","1725","-443","-3.2","72.77","0.492","0.1115","279","0.2","29","65.3","50.6","21.1","5.7","102","7.69","0.8791","0.0204","0.5191","48.46","0.397","N/A","N/A","N/A","0.725","0.93"
"Malawi",3.538,"0.483","18898441","5.7","19361217287","94280","1515","44.7","53","468","1298","1612","-314","0.6","71.42","0.445","0.0798","249","0.1","85","65.6","41.6","22.8","5.74","71","1.73","0.6744","0.6023","0.8192","54.07","0.251","N/A","N/A","N/A","0.671","0.99"
"Malaysia",5.384,"0.81","32754240","4.6","888686922656","328550","147209","41","74.4","8940","68113","90082","-21969","-6","77.72","0.7","0.0639","312","8","7493","74.7","8.6","25.3","7.19","212","2.11","0.588","0.597","0.6657","76.96","0.802","6.4","1.6","4","0.676","0.96"
"Maldives",5.198,"0.74","383135","6.4","9769994105","300","565","N/A","55.2","8555","960","1156","-196","-18.6","81.77","0.561","N/A","383","2","N/A","79.6","7.6","25.1","N/A","499","0.75","N/A","N/A","N/A","70.81","0.477","N/A","N/A","N/A","0.642","N/A"
"Mali",4.729,"0.434","20856000","7.3","44584090696","1220190","3040","33","55.6","773","3068","3584","-516","-2","82.85","0.312","0.0839","215","0.1","142","62.8","94","22.8","3.93","33","10.9","0.6906","0.8388","0.182","48.29","0.361","N/A","N/A","N/A","0.591","0.95"
"Malta",6.773,"0.895","514564","3.9","21108159041","320","2456","29.4","70.2","76016","4295","4354","-59","-7.9","66.56","0.781","0.006","316","3.5","N/A","81.9","7","27.2","7.68","161","1.59","0.0414","0.0907","0.1223","84.89","0.978","5.8","0.7","8.29","0.703","0.86"
"Mauritania",4.375,"0.546","4271197","9.6","22727329593","1030700","882","32.6","56.1","976","1248","1301","-53","-3.2","81.77","0.377","0.0795","233","0.7","734","68.4","72.9","24.8","3.92","53","9.94","0.615","0.326","0.0149","48.95","0.384","N/A","N/A","N/A","0.606","0.98"
"Mauritius",6.101,"0.804","1266030","6.7","28763164544","2030","2800","38.5","77","20875","2912","3337","-425","-14.2","72.32","0.725","0.1553","358","3.5","2208","74.1","16","25.6","8.14","199","2.92","0.4634","0.4547","0.6385","78.96","0.691","8.2","1.4","5.86","0.679","N/A"
"Mexico",6.465,"0.779","126014024","3.8","2573847595048","1943950","267910","48.3","65.5","9944","254256","314598","-63342","-0.1","69.8","0.655","0.0597","306","3.8","3258","76","14.2","28.1","6.07","166","29.07","0.5418","0.1511","0.1796","73.52","0.755","5.2","0.9","5.78","0.757","0.73"
"Moldova",5.608,"0.75","2640438","4.2","34272120582","32885.3","5957","25.9","62.5","5855","2796","3027","-231","-4.5","49.01","0.725","0.0479","322","2.1","650","73.3","14.4","26.7","5.78","N/A","4.1","0.5535","0.5533","0.5603","72.58","0.639","7.3","3.1","2.35","0.768","0.72"
"Mongolia",5.456,"0.737","3368283","5.9","38666235256","1557255","6933","32.3","62.4","2654","2623","3711","-1088","-2","30.74","0.737","0.0308","208","6.3","1399","68.1","15.6","26","6.48","110","6.18","0.3682","0.3734","0.0799","71.07","0.483","3.4","1.1","3.09","0.716","N/A"
"Montenegro",5.546,"0.829","621873","19.3","13213905651","13450","2998","31.9","63.4","24242","1620","1950","-330","-12","50.99","0.797","N/A","N/A","6.3","N/A","75.9","2.3","26","5.77","172","2.23","N/A","N/A","N/A","74.42","N/A","5.3","1.4","3.79","0.732","0.71"
"Morocco",5.095,"0.686","36196136","12.7","278614687499","446300","29678","39.5","63.3","4010","26630","30710","-4080","2.2","62.78","0.503","0.0645","281","1.9","587","73","21.4","25.6","5.04","237","1.42","0.4841","0.4683","0.0035","66.9","0.882","N/A","N/A","N/A","0.612","0.97"
"Mozambique",4.624,"0.456","30832244","3.2","38933851135","786380","13390","54","51.6","352","2758","3607","-849","2.2","74.84","0.369","0.0869","225","0.3","148","58.1","74.2","22.3","3.51","63","3.4","0.6932","0.8125","0.6759","49","0.26","N/A","N/A","N/A","0.758","0.86"
"Myanmar",4.308,"0.583","55294979","1.7","276482978785","652790","18024","38.1","55.2","1556","N/A","N/A","N/A","2","55.49","N/A","0.089","270","0.6","50","69.1","44.7","22.6","3.04","N/A","2.27","N/A","N/A","N/A","55.99","N/A","N/A","N/A","N/A","0.681","0.97"
"Namibia",4.571,"0.646","2550226","20.6","24889786061","823290","4184","59.1","62.6","5502","3967","4759","-792","-1.4","67.91","0.546","0.0537","200","1.7","2204","64.6","42.4","24.3","6.52","295","17.14","0.6329","0.7005","0.6626","67.14","0.34","N/A","N/A","N/A","0.809","0.92"
"Nepal",5.137,"0.602","30378055","1.5","93518511731","143350","6562","32.8","50.7","1510","6993","8833","-1840","0","46.58","0.475","0.0512","305","0.3","37","70.9","30.8","22.2","5.22","86","2.16","0.6632","0.7167","0.1417","57.6","0.457","N/A","N/A","N/A","0.683","0.93"
"Netherlands",7.449,"0.944","17574231","3.9","991941839767","33670","110682","28.2","76.8","31057","N/A","N/A","N/A","1.8","48.65","0.897","0.0824","388","9.5","27160","81.8","4","25.4","8.96","63","0.59","0.1054","0.5143","0.7222","91.06","0.928","3.7","1.8","2.06","0.762","0.33"
"New Zealand",7.3,"0.931","5121660","5.3","207247264396","263310","41165","N/A","83.9","116433","72532","90431","-17899","2.2","50.99","0.917","0.0455","292","7.7","8618","82","4.7","27.9","9.25","188","0.7","0.3969","0.1657","0.811","91.64","0.827","4.8","2","2.4","0.84","0.33"
"Nicaragua",6.137,"0.66","6527691","7.4","37689138858","120340","3738","46.2","56.3","3005","3800","4074","-274","-3.9","76.82","0.542","0.1462","272","1","690","75","16.6","26.9","3.6","332","7.37","0.4844","0.0473","0.429","64.02","0.733","4.5","0.8","5.63","0.796","0.7"
"Niger",4.91,"0.394","24112753","0.5","27486070288","1266700","1586","34.3","57.3","463","1680","2235","-555","0.5","80.87","0.206","0.1124","208","0.1","74","63.3","80.4","21.7","3.29","47","4.44","0.6518","0.6519","0.2013","42.21","0.337","N/A","N/A","N/A","0.629","1"
